artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year
ARJNIUY12298900C91,,,,Adelitas Way,213.9424,1,SOBLFFE12AF72AA5BA,Scream,2009
ARSVTNL1187B992A91,51.50632,"London, England",-0.12714,Jonathan King,129.85424,1,SOEKAZG12AB018837E,I'll Slap Your Face (Entertainment USA Theme),2001
ARXR32B1187FB57099,,,,Gob,209.60608,1,SOFSOCN12A8C143F5D,Face the Ashes,2007
ARZ5H0P1187B98A1DD,33.76672,"Long Beach, CA",-118.1924,Snoop Dogg,230.42567,1,SOAPERH12A58A787DC,The One And Only (Edited),0
AR1KTV21187B9ACD72,34.05349,California - LA,-118.24532,Cristina,343.87546,1,SOSMJFC12A8C13DE0C,Is That All There Is?,0
AR5LMPY1187FB573FE,41.88415,"Chicago, IL",-87.63241,Chaka Khan_ Rufus,258.89914,1,SOABWAP12A8C13F82A,Take Time,1978
ARC43071187B990240,,"Wisner, LA",,Wayne Watson,245.21098,1,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),0
ARV6GHH1187B9AED0D,62.19845,SWEDEN,17.55142,Sofia Talvik,249.41669,1,SOBXHCE12AB018B6AC,Arms and Armour,2008
ARD8E0V1187FB5C3DB,40.71455,"New York, NY",-74.00712,Poe,290.16771,1,SOSRVUJ12AB018731E,Walk the Walk,2000
ARD842G1187B997376,43.64856,"Toronto, Ontario, Canada",-79.38533,Blue Rodeo,491.12771,1,SOHUOAP12A8AE488E9,Floating,1987
AR5AA4Q1187FB4CFBD,,,,Alisha's Attic,198.55628,1,SOPOQFU12A6D4F8C5F,Sex Is On Everyone's Tongue,2001
AR35RMH1187FB4A865,-22.97673,Rio de Janeiro,-43.19508,Eumir Deodato,111.28118,1,SOHZIGH12A6D4F8D14,A Grande Cacada,0
AR9FZZ71187FB4CE11,,,,Thomas Dutronc,171.15383,1,SOFHCKF12A8C13C0BC,China Boy,2007
AR5KOSW1187FB35FF4,49.80388,Dubai UAE,15.47491,Elena,269.58322,1,SOZCTXZ12AB0182364,Setanta matins,0
ARFVYJI1187B9B8E13,47.60356,"Seattle, WA",-122.32944,Pearl Jam,352.88771,1,SOAOJYY12A58A7B2F9,Not For You,1994
ARGS47D1187FB40225,,"London, England",,Peter And Gordon,127.97342,1,SODIWID12A6D4F803A,Lucille (1999 Digital Remaster) (Stereo),0
